[2026-03-11 19:26:38] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:26:39] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:26:39] sara                 | VIEW_MY_PROFILE_ATTEMPT        | 
[2026-03-11 19:26:44] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:26:44] sara                 | VIEW_POSTS_ATTEMPT             | ALL
[2026-03-11 19:26:46] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:26:47] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:26:47] sara                 | VIEW_POSTS_ATTEMPT             | MY_POSTS
[2026-03-11 19:26:47] sara                 | VIEW_ALL_USERS_ATTEMPT         | 
[2026-03-11 19:26:50] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:26:51] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:26:52] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:26:53] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:26:54] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:26:55] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:26:56] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:00] maria                | REGISTER_ATTEMPT               | maria
[2026-03-11 19:28:00] maria                | REGISTER_SUCCESS               | Type: USER
[2026-03-11 19:28:04] maria                | LOGIN_ATTEMPT                  | maria
[2026-03-11 19:28:04] maria                | LOGIN_SUCCESS                  | Type: user | Socket: 5
[2026-03-11 19:28:05] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:06] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:07] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:08] maria                | SET_PROFILE_ATTEMPT            | PRIVATE
[2026-03-11 19:28:08] maria                | SET_PROFILE_SUCCESS            | PRIVATE
[2026-03-11 19:28:08] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:09] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:10] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:11] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:12] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:13] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:14] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:15] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:16] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:17] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:18] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:19] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:20] sara                 | LOGIN_ATTEMPT                  | sara
[2026-03-11 19:28:20] sara                 | LOGIN_SUCCESS                  | Type: admin | Socket: 4
[2026-03-11 19:28:20] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:21] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:21] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:22] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:22] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:23] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:23] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:24] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:24] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:25] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:25] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:26] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:26] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:27] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:27] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:28] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:28] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:29] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:29] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:30] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:30] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:31] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:31] maria                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:28:32] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
