[2026-03-21 21:41:30] sara                 | LOGIN_ATTEMPT                  | sara
[2026-03-21 21:41:30] sara                 | LOGIN_SUCCESS                  | Type: admin | Socket: 4
[2026-03-21 21:41:31] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:32] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:33] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:34] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:35] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:36] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:37] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:38] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:39] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:40] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:41] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:41] mihai                | LOGIN_ATTEMPT                  | mihai
[2026-03-21 21:41:41] mihai                | LOGIN_FAILED                   | User not found
[2026-03-21 21:41:42] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:43] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:44] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:44] mihai                | REGISTER_ATTEMPT               | mihai
[2026-03-21 21:41:44] mihai                | REGISTER_SUCCESS               | Type: USER
[2026-03-21 21:41:45] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:46] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:47] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:48] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:48] mihai                | LOGIN_ATTEMPT                  | mihai
[2026-03-21 21:41:48] mihai                | LOGIN_SUCCESS                  | Type: user | Socket: 5
[2026-03-21 21:41:49] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:49] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:50] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:50] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:51] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:51] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:52] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:52] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:53] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:53] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:54] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:54] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:55] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:55] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:56] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:56] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:57] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:57] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:57] sara                 | VIEW_ALL_USERS_ATTEMPT         | 
[2026-03-21 21:41:58] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:41:59] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:00] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:01] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:02] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:03] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:04] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:05] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:06] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:07] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:08] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:09] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:10] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:11] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:11] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:12] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:12] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:13] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:13] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:14] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:15] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:15] mihai                | SET_PROFILE_ATTEMPT            | PRIVATE
[2026-03-21 21:42:15] mihai                | SET_PROFILE_SUCCESS            | PRIVATE
[2026-03-21 21:42:15] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:16] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:16] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:17] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:17] sara                 | VIEW_ALL_USERS_ATTEMPT         | 
[2026-03-21 21:42:17] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:18] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:18] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:19] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:19] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:20] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:20] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:21] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:21] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:22] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:22] sara                 | VIEW_USER_FEED_ATTEMPT         | mihai
[2026-03-21 21:42:22] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:23] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:24] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:25] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:26] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:27] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:28] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:29] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-21 21:42:30] mihai                | GET_UNREAD_COUNT_ATTEMPT       | 
